"department_name";"department_short_code"
"AD";"ad"
"BID";"bid"
"CC";"cc"
"CCD";"ccd"
"CHMNS";"chmns"
"CISO";"ciso"
"CPD";"cpd"
"CSDD";"csdd"
"CVC";"cvc"
"DCAS";"dcas"
"DDMABI";"ddmabi"
"DDSI";"ddsi"
"DEAR";"dear"
"DFIBT";"dfibt"
"DIT";"dit"
"DMDS1";"dmds1"
"DMDS2";"dmds2"
"DMFI";"dmfi"
"DOR";"dor"
"DOS";"dos"
"DPSP";"dpsp"
"DSM";"dsm"
"DSSI";"dssi"
"FD";"fd"
"FSDD";"fsdd"
"FSPD";"fspd"
"GSD";"gsd"
"HRMD";"hrmd"
"ID";"id"
"IDD";"idd"
"LAW";"law"
"MCID";"mcid"
"OFDD";"ofdd"
"PFD";"pfd"
"RAJ";"raj"
"RMD";"rmd"
"RMSMED";"rmsmed"
"SDCC";"sdcc"
"SECY";"secy"
"SPD";"spd"
"SPPID";"sppid"
